artist,uri,danceability,energy,tempo
Frankie Valli & The Four Seasons,spotify:track:4T8LdAE3UU0mWIzrB9gnIg,0.735,0.732,117.58
Joe Mcphee,spotify:track:5H1K7aT6Ox3rDBygoqVpNo,0.536,0.081,138.498
Phil Vassar,spotify:track:339hc1FygD8oJl4kg24IjG,0.5870000000000001,0.88,129.222
Sugar Ray,spotify:track:6NcHJ23mLQKnVxQcOmT7JW,0.743,0.67,110.832
Craig David,spotify:track:0gPQTLaqHDgdupKEok7J2x,0.659,0.812,83.01299999999998
Nitrogenetics,spotify:track:4atXnrsTrNuKSi7DMU5wdY,0.539,0.985,162.065
Justin Timberlake,spotify:track:1AWQoqb9bSvzTjaLralEkT,0.8909999999999999,0.7140000000000001,100.972
J. Holiday,spotify:track:6TlRNJaezOdzdECnQeRuMM,0.684,0.606,127.901
LCD Soundsystem,spotify:track:7d7l6Qnbnqv9nkuHrh6p1N,0.6579999999999999,0.954,132.029
Papa Roach,spotify:track:1UREw2MCfU0xwBzCAjxlUD,0.471,0.936,89.881
Jennifer Lopez Featuring Ja Rule,spotify:track:5ahFyKndeg1hqfmNumL3WF,0.7809999999999999,0.746,89.43
Shinedown,spotify:track:0W9Xvd4Qx1aZPxEi94vgRY,0.328,0.939,185.971
Rick Ross Featuring Nelly & Avery Storm,spotify:track:67yGTWcR72BZvsrSS2dHST,0.746,0.7170000000000001,109.753
Alestorm,spotify:track:5K5lrptyRqoVYYDhADvzSM,0.493,0.977,100.02
David Archuleta,spotify:track:4wCD0qOFNRu1Q6O3N6ycm4,0.57,0.664,162.084
Velvet Acid Christ,spotify:track:10ZjRxNkqhgs4BKLuggiil,0.564,0.878,127.046
Valhall,spotify:track:4c3TPYPHOgChuFnzECCZPX,0.277,0.836,95.514
Blake Shelton,spotify:track:7kWeSMXLxUHHOkFxsS0vhP,0.787,0.765,115.979
Kellie Coffey,spotify:track:6EwbFB8T0uIaaRCNwAIrnS,0.312,0.404,138.425
Plain White T's,spotify:track:5VWmMZCfJ4yVkJw9ZLFXej,0.458,0.55,90.56
Carrie Underwood,spotify:track:0m8Ta268d1kBBG7lxMyWqa,0.341,0.659,79.987
Jazkamer,spotify:track:2Q4VI3YbXvqzq22dWmPkp8,0.168,0.8079999999999999,91.269
Ikimonogakari,spotify:track:7HAkrW8JUYoVR9dXwb6Uku,0.5660000000000001,0.919,146.99
John Legend,spotify:track:051NZ3rr3HXTULCEySJRX3,0.6609999999999999,0.7959999999999999,87.98200000000001
Aly & AJ,spotify:track:1dpXikU9kSyxm1mKulwHws,0.5479999999999999,0.815,129.963
Keyshia Cole,spotify:track:1dObJGQUgJ7tWxJ0byON6W,0.422,0.736,129.278
DJ Wag,spotify:track:0wuMFLlxogpv7clNUG9KmW,0.71,0.7959999999999999,135.012
Busta Rhymes Featuring Linkin Park,spotify:track:26jVcJqG66nj36jRqPBp2U,0.62,0.746,138.454
Craig Morgan,spotify:track:6FW9MTGMjR5A6q2o7PLuuz,0.525,0.481,75.97399999999998
Baha Men,spotify:track:1H5tvpoApNDxvxDexoaAUo,0.8690000000000001,0.887,129.221
Nordre Sving,spotify:track:0nDQHCFVIZSudI5KigcO8z,0.547,0.6829999999999999,94.937
John Legend,spotify:track:2ZA4uMlSZjaoWGFqP1tsLI,0.469,0.132,67.01100000000001
Domu,spotify:track:3ux9LeNRAgENFLcI7ZFebb,0.364,0.866,189.091
Kenny Chesney,spotify:track:0cE0J96KeivafL6goJwpmq,0.6890000000000001,0.907,116.968
Faun,spotify:track:5ZaquedAbEd7VAJfe0FLhE,0.602,0.328,108.003
Martina McBride,spotify:track:45wdPEiLuyv4oSwWQOX93R,0.473,0.59,140.191
Yo Gotti,spotify:track:6N9wsG0HYEpGEr0Ihgbz5r,0.715,0.809,76.493
The Wood Brothers,spotify:track:26uHwSHlaK5mskSMhbRod3,0.5710000000000001,0.281,142.263
DJ D,spotify:track:2ohXvQLyB5RbZ0du4fAQHX,0.461,0.93,163.93400000000003
Plan Three,spotify:track:2ajt6aQwvgu2eJbNIZhJFY,0.51,0.8809999999999999,91.034
Gary Allan,spotify:track:3unLUM6bJcy5beGawHpynM,0.481,0.508,86.01299999999998
Keith Urban,spotify:track:4DyKZmONpoggnn3piyjad2,0.653,0.7859999999999999,120.992
Guru,spotify:track:2nIQLI6m0qgjuZ6eO3f7r3,0.7440000000000001,0.7390000000000001,79.245
Charlie 3,spotify:track:4dk59nVJKBJCPupuL6RGae,0.473,0.722,149.625
Barenaked Ladies,spotify:track:6rMx1neL9mLYivQ5U6PFk3,0.621,0.747,172.31
Toby Keith,spotify:track:7G6l2FtQyRhQgYgut2I6i8,0.68,0.87,119.075
LL Cool J,spotify:track:1GIN41bLhiKeEPeC2vXH8i,0.718,0.7859999999999999,99.916
Nikolai Kapustin,spotify:track:3sO3HX4EP1jS9rZW9OvHCN,0.387,0.268,113.357
Black Moth Super Rainbow,spotify:track:56e8Ac9LVRJf3SvVa9vVg0,0.384,0.735,133.906
Trevor Rabin,spotify:track:2X42kkAi74tp2Je6OuML6c,0.064,0.0794,63.29
Beth Hart,spotify:track:69pBTbnLue0leYUCMAFqPj,0.35100000000000003,0.615,127.798
Chris Cagle,spotify:track:0nprj2O0teCglthuhzTG5o,0.596,0.921,104.024
Lali Puna,spotify:track:6VVvxfr9thHNyd61X0FNAV,0.726,0.294,125.712
Sky Saxon,spotify:track:1jEOVktr2HSpay9i6pqWBG,0.598,0.782,118.938
Nick Lachey,spotify:track:1bPqAXwNiVcM6zjJU1Z4Cd,0.421,0.728,150.12
Whitney Houston,spotify:track:3wACjmQo7ZkRNMLfZXndFB,0.609,0.563,148.94899999999996
Seether Featuring Amy Lee,spotify:track:507bYMYfbm6sUS9iEAaeSd,0.448,0.61,123.762
Simple Plan,spotify:track:4uVjbl6daCwjhDur7qLddu,0.395,0.917,169.088
Dead Meadow,spotify:track:2HlBvuaKhdftTRb3TCklhQ,0.365,0.632,129.545
Joi Cardwell,spotify:track:6UhrIkR4sDh8LpoWdUVzt1,0.792,0.637,127.989
Heart Attack,spotify:track:0k3akiXIyGFLT31IC3twkP,0.343,0.972,94.927
The Black Eyed Peas,spotify:track:0xfpx7AiwgSKEtjotea2L6,0.7979999999999999,0.629,130.0
The Black Dahlia Murder,spotify:track:3oCTRjyXmT1MMn4nVQMKBm,0.471,0.993,113.996
Hitman Sammy Sam,spotify:track:1TKRumlRMXv2SEKPhueya0,0.93,0.773,118.997
Stein Ingebrigtsen,spotify:track:1VOPQGI9tO0S1SKSoOqAiC,0.682,0.579,100.186
Blink-182,spotify:track:1oTo3ijRbaDAtrjJrGAPSw,0.664,0.7809999999999999,110.0
Titanix,spotify:track:3M9rd6Ypxn783h5Y5HLNjF,0.59,0.836,138.84
U2 & Green Day,spotify:track:6uQL0epVs9N9Bergafaf6x,0.315,0.81,152.116
Basement Jaxx,spotify:track:2bmmeB82W3J241MijDIiHk,0.5770000000000001,0.936,153.985
Christina Aguilera,spotify:track:3TCauNPqFiniaYHBvEVoHG,0.457,0.573,76.193
Robin Spielberg,spotify:track:1aTcDNvEBoqWN9FxuoBhfB,0.441,0.0712,94.35
Java Gospel,spotify:track:00nQhTtc8FxgmB0NWypSE0,0.662,0.8540000000000001,121.961
Linkin Park,spotify:track:0OYcEfskah1egYHjYRvbg1,0.534,0.393,110.007
Brian McComas,spotify:track:14ymPtb1n06KzSm0J9bmMZ,0.606,0.959,116.014
Montgomery Gentry,spotify:track:7cmZDjXMF1A0dGV726pMYs,0.55,0.61,168.18599999999995
Jesse McCartney,spotify:track:58ZvuqZgeuZMCbpCsH9E76,0.72,0.5479999999999999,99.004
JoJo Featuring Bow Wow,spotify:track:5TV96lkS2NF6kzILjORzLs,0.858,0.607,119.986
Buddy Jewell,spotify:track:4xWIqUIlfrusaaygS9RQsR,0.565,0.562,75.035
Rob Thomas,spotify:track:02acUMylPHMjJ9miDc9b38,0.435,0.7290000000000001,188.017
Carlo Fashion,spotify:track:470NlXJBatHwrcnfGFJylg,0.65,0.72,154.664
Extreme Noise Terror,spotify:track:0dRyY3VAXutGwDyK1cB4ZL,0.173,0.997,121.013
Jayne County,spotify:track:0pDrgytQok3cwE3RFFuCSW,0.359,0.979,172.611
Incendiary,spotify:track:691zGt8f43n3D2X068fHaa,0.209,0.923,93.347
J. Holiday,spotify:track:3nJjIYchBNkYm7B8XfJf5N,0.458,0.445,82.82
Djako,spotify:track:2kEP1TKpYEiWS1mVLaP47f,0.71,0.787,128.05
Jan Wayne,spotify:track:5GrqtGJhoa6EqvCUs5fVYf,0.636,0.993,141.97
Allison,spotify:track:2JMLgdz2Y5CnNPE70A1OYK,0.628,0.541,102.513
Joe Nichols,spotify:track:28NvPQZ8XVVlV2eGmUw2Za,0.679,0.316,127.968
Jet,spotify:track:305WCRhhS10XUcH6AEwZk6,0.613,0.953,105.046
Jazkamer,spotify:track:5HwXiRSQIJfDDzZatkpMMY,0.0775,0.00796,72.592
Felix Mendelssohn,spotify:track:6DwnOj01tAOlzZgtNy2zxN,0.106,0.0424,63.533
Finger Eleven,spotify:track:2BepFzUWfczDk68DXj10w3,0.588,0.555,151.991
Stone Metal Fire,spotify:track:0K1U7QPsuA6tU0gJTvHZpC,0.473,0.464,128.955
T.I. Featuring Wyclef Jean,spotify:track:5Tc1KlDWyRnLLXL1y6ufsM,0.657,0.853,173.06599999999997
Christina Milian,spotify:track:4e4dNzVG8DBQqbhX57Wxe8,0.872,0.86,104.956
Lily Allen,spotify:track:7bW6MqAdTclmHVHAOkIyPS,0.6609999999999999,0.847,134.002
Nausea,spotify:track:6SO0RfXtb6kgYO17lNwKn8,0.308,0.935,89.54700000000003
Dierks Bentley,spotify:track:4HE1X1MtjHCjxicUHYQmyW,0.585,0.5770000000000001,80.02
Sarcasmo,spotify:track:2KS0Ce6rbK7nsV67Lj85uQ,0.191,0.996,110.512
Bilal,spotify:track:54SqlaPV5mzRTBBWdnE1OO,0.598,0.412,146.039
Jens Buchert,spotify:track:5ovM96XM7jgTMTLh5Cixel,0.569,0.463,109.039
Cor Veleno,spotify:track:5qUWO7mmcF83PMftjF3P09,0.8029999999999999,0.821,100.031
Crush 40,spotify:track:2IqacX5Aw5vEMbrL1j5UI4,0.447,0.8740000000000001,87.47399999999998
Mandy Moore,spotify:track:4du0TY3NTgvQGlelrBHfDL,0.515,0.908,150.031
Pretty Lights,spotify:track:0eU8KglPlVxVMZVDNGi7GU,0.7290000000000001,0.746,94.977
Daft Punk,spotify:track:0DiWol3AO6WpXZgp0goxAV,0.611,0.6970000000000001,122.752
Kyoto Jazz Massive,spotify:track:19EPTHJf2GpZaKWq2CW019,0.7709999999999999,0.903,123.014
Nelly Furtado,spotify:track:2tP7ZekzXfduShx8C6cbll,0.622,0.608,89.661
Terri Clark,spotify:track:2Vn8Ea6fGOM3dsGYVcJ62G,0.499,0.883,138.80100000000002
Synapscape,spotify:track:3q7I36leqmQqjs4xAhXrO4,0.645,0.984,132.894
Sudha Ragunathan,spotify:track:4N5jef6tQn5wg8pjxQ2BBd,0.522,0.328,155.673
Brad Mehldau,spotify:track:0vqknpE0wpLA17uYiv4kUv,0.444,0.0162,100.364
Scary Kids Scaring Kids,spotify:track:6BjA89sjpmQyvcWBQSZQGY,0.664,0.7609999999999999,129.939
NB Ridaz Featuring Angelina,spotify:track:49hhlarIcc7kZe459BrXQ8,0.718,0.6709999999999999,170.012
The Dillinger Escape Plan,spotify:track:0Le202Yj1zphNm3QyfN1sB,0.279,0.901,119.95
D.R.I.,spotify:track:00cAz18F7uLKFwls8OrhNo,0.455,0.988,98.85
The Black Angels,spotify:track:3tX4hDnn0n6B066kOFmziQ,0.311,0.7090000000000001,108.284
Enrique Guzman,spotify:track:7LUtYl1Q0l6ImNwcBZJHyO,0.5920000000000001,0.418,90.732
Agoraphobic Nosebleed,spotify:track:4ESpRPaf5sBc4rEPCkKtba,0.298,0.943,102.7
Lou Bega,spotify:track:4INRUdIART6zmdeLquiu5g,0.858,0.947,151.037
Apocalyptica,spotify:track:6U6ShLCW3mGVgkGARKNLhL,0.233,0.609,96.808
Phaeleh,spotify:track:2ltpigohYJYHBQgy34u2LF,0.7120000000000001,0.496,137.002
John Rutter,spotify:track:0qrluoRkYlnM7R46lJs6Gr,0.19,0.0237,103.604
R. Kelly Featuring Keri Hilson,spotify:track:5nB5bek72WORC5jegCIPNk,0.65,0.813,136.796
Charles Mingus,spotify:track:42IqaW4VDhFomQMojirykk,0.377,0.453,126.93
Courteeners,spotify:track:1bSkRvS1uWHI1QL0aJbvyC,0.402,0.92,139.793
False Prophets,spotify:track:5TmLCuGKfXZVahBnTs2Bws,0.13699999999999998,0.853,187.209
Cassidy Featuring Mashonda,spotify:track:30KGtFjHhlT3JMX5s4IklU,0.7170000000000001,0.597,95.018
Evans Blue,spotify:track:4Mt82f1x76cieBiHaCLQxi,0.34700000000000003,0.882,178.321
Daemonia Nymphe,spotify:track:32MUHfMmhX9qNmNw1MawUb,0.252,0.111,95.929
Mary J. Blige,spotify:track:7GCE5mQQsyqswYbEkCieK5,0.623,0.828,97.926
Plastilina Mosh,spotify:track:5lwPvoxq9H3eAawY4236zP,0.713,0.907,135.055
Lifehouse,spotify:track:5f6cTFoUenDiCJDGecYiuB,0.534,0.708,130.639
Hot Chip,spotify:track:1L8H6AuK4TaMmolSL0N0mR,0.631,0.863,125.994
Crush 40,spotify:track:0O2TR0dmwnPejopBpMpv9e,0.308,0.934,170.009
50 Cent,spotify:track:1FKFCvi0i46qEJLZSEBH8p,0.525,0.933,122.631
Lil Wayne Featuring Jay-Z,spotify:track:2tQM1BUrXp2kqOM6mN11TC,0.486,0.71,170.86
Chris Cagle,spotify:track:7uPReljrrTaqzDCcx4JHmi,0.494,0.861,172.05200000000005
Yann Tiersen,spotify:track:78IQDW7yyMzJavHiWqfBWR,0.194,0.179,177.667
World / Inferno Friendship Society,spotify:track:6ODgAJmmQAiESP03dOa8gQ,0.293,0.877,69.219
B2K,spotify:track:0fPBKo78nKsbIla2ExeefC,0.698,0.618,89.98100000000002
Canton Jones,spotify:track:5XFzsWkAeiWVasprx2CBOE,0.648,0.7759999999999999,91.218
Whitney Houston,spotify:track:1rAESNsSXvXpJh9hCjgHVX,0.55,0.373,101.84
Bone Crusher Featuring Killer Mike & T.I.,spotify:track:4kmIO0yPq92dXtKCL28RfC,0.586,0.927,73.023
D12,spotify:track:4XHQyvbrBsQaaBUW1VvmsL,0.848,0.8540000000000001,120.024
Mohammed Rafi,spotify:track:3ptSDu7LuyCGaXaD38MEfP,0.336,0.449,139.13
The Bad Plus,spotify:track:2fNCSdonK3E2ODMvAUx92e,0.3670000000000001,0.833,93.08
OneRepublic,spotify:track:5XRHGXut00SrJUFmcn2lQF,0.529,0.948,146.024
Lloyd Featuring Lil Wayne,spotify:track:6fju5NbZznZRZDfP7mpZ56,0.727,0.83,97.602
Pretty Balanced,spotify:track:5DynuE4Qw0OPVifgP0BPWK,0.374,0.344,152.11
The Pussycat Dolls Featuring Nicole Scherzinger,spotify:track:2H9CKpZiLDF223BbwehpDF,0.613,0.778,129.483
Tegan and Sara,spotify:track:7ImkjvM1OKWhJ5HIPOHcHE,0.7879999999999999,0.541,118.058
Snoop Dogg Presents Tha Eastsidaz,spotify:track:1zIXpzuCC7FM4kECt2eEzu,0.908,0.763,97.106
Thy Art Is Murder,spotify:track:6DR4rQ3pSQq9N8vMa0l8mR,0.295,0.967,149.99
Fabolous Featuring Mike Shorey & Lil' Mo,spotify:track:6lrRIfQDcikJ5y5DtyZPuJ,0.6459999999999999,0.6,192.082
Destruction,spotify:track:1PJSHuwghcl1htfLf4KvBV,0.419,0.988,97.036
Maxwell,spotify:track:0f62w1teOSaYgKObtzygaR,0.6609999999999999,0.67,148.02
Radiohead,spotify:track:5k7VKj1Xwy5DjO4B0PdAOb,0.537,0.342,128.33100000000002
Jump 'N' The Saddle Band,spotify:track:5Pijq9ImAu5xweS1lxAKwK,0.632,0.484,80.687
Los Lonely Boys,spotify:track:2mQ1RBK7s87mdPCzh97RSH,0.664,0.862,91.91
Janet Jackson,spotify:track:5xDDEqO786YBj3tJDSR2Ms,0.643,0.843,105.744
Ty Herndon,spotify:track:2sPXJCnKyQ1SWjc2JdFnQK,0.6759999999999999,0.738,101.944
The Chap,spotify:track:7tCql58FzOCWiROAfH2O6o,0.509,0.59,159.945
Chingy,spotify:track:0l3GEbH3CviUytD6iX4wzg,0.866,0.7490000000000001,92.074
Neyyattinkara Vasudevan,spotify:track:0SpnECT7VaSHxbRqR6gC3E,0.435,0.8059999999999999,93.162
fun.,spotify:track:2WmF4SAbX81fLDXhYsAMf9,0.436,0.746,132.06
Liz Phair,spotify:track:4z4PB23xYTg1oANmyZovsw,0.487,0.759,80.958
Alexander Tcherepnin,spotify:track:1VAljuZRSK9hdWrowK8WAy,0.585,0.123,115.145
Demi Lovato,spotify:track:33RJ3P6wc0B0FIyDalhNTv,0.585,0.927,142.043
Jagged Edge,spotify:track:3PcocqQL1Qn6LtUxjSlk4R,0.821,0.727,130.0
Nickelback,spotify:track:2cCWbBmadLbKvr9xddC79R,0.598,0.8079999999999999,128.025
Sean Kingston,spotify:track:6AdLyvisRKHLAwARaZMGr6,0.752,0.921,115.033
Franz Schubert,spotify:track:5VNiNarIW6OOx2UvRIQv4C,0.128,0.045,85.90700000000002
Brandtson,spotify:track:0eGWKb3AFCQGPzEzrHK9HW,0.244,0.67,170.65400000000002
Lama Surya Das & Steven Halpern,spotify:track:4jltSJWHhH9IBq980mhfTg,0.603,0.253,76.91199999999998
Jon Kennedy,spotify:track:6GFDygDJvoYm4NHECc8BIR,0.6759999999999999,0.73,104.001
Half the World,spotify:track:7B3LRoWMuBFvYImwsSsXcm,0.454,0.911,93.218
Opera IX,spotify:track:0m44z5yhxeWssBgxf2sBTv,0.075,0.858,61.106
Pat Green,spotify:track:4jVipHalgvFVz3Smp4aQID,0.6579999999999999,0.742,123.316
Amber,spotify:track:4jCWcK6PhbnzOCAFJEztUm,0.623,0.898,130.993
Joe Nichols,spotify:track:6IC6VhpV7D8T1t037Atqpu,0.664,0.706,93.968
Faith Evans,spotify:track:17Yws6NV4W7lAGPtq4UPIT,0.489,0.763,173.822
No Doubt Featuring Lady Saw,spotify:track:6fR6Z0Vc1K6yQWNUIKjAIR,0.7290000000000001,0.731,138.204
Los Amantes De Lola,spotify:track:1QnaEDLQn4nz0z8vWOrh0r,0.723,0.65,124.471
Suicide Commando,spotify:track:53SYH7zZomYLOBSMNUW1Xl,0.524,0.894,140.003
Lil Wayne,spotify:track:50mX6QmpQX4cCsRYJ9fGM3,0.626,0.866,132.031
Rick Ross Featuring T-Pain,spotify:track:3n5qF6aprwEIjHWuH5jECM,0.431,0.8420000000000001,83.66
Dirty Vegas,spotify:track:2RLpFEf6d0708O7Bqhjyxg,0.7859999999999999,0.853,126.99
John Legend Featuring Andre 3000,spotify:track:72by3Re4C3eVEBXvsUo0zV,0.622,0.882,77.506
Joe Mcphee,spotify:track:2Rafn6JsLdVC9AFwhVXVie,0.393,0.0523,140.55700000000002
Red Wine,spotify:track:7x2v2qFUQRCeG9QEsfrRHs,0.404,0.958,90.099
Spoon,spotify:track:5oXaBT2x1pESGjgHFZApKa,0.665,0.6459999999999999,133.724
Brad Paisley,spotify:track:7xJqaCgeteqWPogqjjxkBl,0.487,0.938,157.795
Marc Anthony,spotify:track:7ffwRz8lZyDOE4Vj58Lo72,0.813,0.949,115.061
Friends Forever,spotify:track:53LaeFXgkHNb9hM9n5ptTP,0.13699999999999998,0.8390000000000001,142.31799999999996
Marc Et Claude,spotify:track:5uUZVbmtFxOWVqREYEeGhA,0.6559999999999999,0.847,136.988
Witchtrap,spotify:track:1S0gaD9ikgSVPF1NQ60aS6,0.469,0.894,96.906
Ne-Yo,spotify:track:6CFPFnS9EcLs2I0nWqtWci,0.81,0.5379999999999999,109.97
Alan Jackson,spotify:track:3xzoXqypESowMIDPX760Ds,0.7090000000000001,0.61,125.189
Gary Allan,spotify:track:63u5QGp9dKXAoYTVKUKBYn,0.374,0.711,160.001
Marc Smith,spotify:track:38gzBsBLkGM4V8G6UFus80,0.654,0.943,165.99200000000005
Linkin Park,spotify:track:2nLtzopw4rPReszdYBJU6h,0.496,0.863,110.018
The All-American Rejects,spotify:track:003FTlCpBTM4eSqYSWPv4H,0.5529999999999999,0.7170000000000001,127.947
Dashboard Confessional,spotify:track:0iufOeur7VOffzvM1U35QN,0.422,0.836,154.013
Dj Spinna,spotify:track:5WOj1kKV0HWrCsK5ibnRup,0.777,0.635,112.019
Ashanti,spotify:track:6zMUIb4uce1CzpbjR3vMdN,0.665,0.696,90.116
Mary J. Blige Featuring Eve,spotify:track:1tWgwttq1I2RlcJFN1dfNh,0.907,0.628,94.027
Sister Rosetta Tharpe,spotify:track:0R1gbCoIdyZlozzBzHLMF0,0.7240000000000001,0.414,154.875
Collie Buddz,spotify:track:6UnR7DiYC4uGQW6YxkVcWT,0.648,0.675,79.419
Scooter,spotify:track:27DkDhMTVYlZhwQVitCTAk,0.516,0.906,150.003
Ricky Martin,spotify:track:2VspVkHity8i4H9jammhhR,0.512,0.615,115.884
Brian Bromberg,spotify:track:64uQABGTLxErFpSu1eWnuN,0.448,0.877,156.004
Mynt Featuring Kim Sozzi,spotify:track:2UdD7uzjIURMsdx0DFK0Cn,0.698,0.889,128.015
Mr. C The Slide Man,spotify:track:5xM801uXVrqhUb0PzeSLvJ,0.8540000000000001,0.903,131.02
Kadri Gopalnath,spotify:track:16KfyjxUMFQTiW1ANgbHWL,0.722,0.6859999999999999,119.88
GAS,spotify:track:0rSc1SiAsd8Eo6B4KBnoQz,0.159,0.0331,129.425
Ludovico Einaudi,spotify:track:2aUUsj6puY14yvfbSyM6Jj,0.231,0.124,129.75799999999998
Selena Gomez & The Scene,spotify:track:6PAL3nzEgroNOMurJAjpFX,0.58,0.898,140.016
I Set My Friends On Fire,spotify:track:70bIXA78HdQB7QCMZ5YwLF,0.419,0.918,154.394
Chris Cagle,spotify:track:3r513lY50AOJBqaG4nP2LT,0.316,0.514,185.882
Blake Shelton,spotify:track:2uEVQb8FstYyxpd8Gy6ndR,0.5760000000000001,0.455,127.856
Keith Urban,spotify:track:1ddEJFVOCOjNqh19FTQAsX,0.5660000000000001,0.429,147.957
Twila Paris,spotify:track:0V3aZTzeoDK6whbZwsKX6w,0.468,0.5539999999999999,135.903
Darius Rucker,spotify:track:5JlH51YDYsGj2dyEJKKjcN,0.601,0.8059999999999999,89.87
Michael Schenker,spotify:track:1kUZTOYBORnOjvFP7tM1p5,0.251,0.875,136.122
Stephen Malkmus,spotify:track:6rSQtxF6vhbPhiLXhJRKzp,0.451,0.498,87.37299999999998
Chris Cagle,spotify:track:7apaBXGNnhJ5iSGjmtVP7t,0.5770000000000001,0.932,161.94899999999996
Toby Keith,spotify:track:408wKFP7qp6ALbjcex2t9k,0.628,0.8959999999999999,128.06
Enno Poppe,spotify:track:1krOnVXLfg0PJvipYsQ0iB,0.336,0.545,86.01299999999998
Blessed By A Broken Heart,spotify:track:7uvn4zzwralcYsZU5tmuvY,0.471,0.934,149.781
Montgomery Gentry,spotify:track:3zjLEJ6EPYJHZRtWGMhMSJ,0.67,0.823,117.44
Therion,spotify:track:4KLRtj98NPcVOBSrBzk6tU,0.133,0.745,80.79899999999998
Ja Rule Featuring Bobby Brown,spotify:track:2EhZdDMJBk529B7I57vJb8,0.769,0.685,93.043
Eliwagar,spotify:track:7uDHXDNK0H4ybi2CX7nkN8,0.313,0.667,123.363
The American Dollar,spotify:track:10MJDo72p2fgxPlPYFUMfX,0.0768,0.235,65.85300000000001
Howard Shore,spotify:track:1ykbtFnlIjmIFnZ8j6wg6i,0.131,0.13699999999999998,78.577
Yesterday's Ring,spotify:track:07NkvhZA6uynNc1qqkqBVi,0.682,0.4320000000000001,120.008
Yawning Man,spotify:track:3yGECrjAhzkWpOxt17cdGr,0.495,0.654,115.505
Birdman Featuring Lil Wayne & Drake,spotify:track:4gaz3uvhKgO078XcdzyPsl,0.708,0.578,133.03
Absu,spotify:track:5qYFUzP9ukCcVIj54uh4FK,0.209,0.997,165.76
Trick Daddy Featuring LaTocha Scott,spotify:track:10TfdwQqSz1DzJirOAcqZI,0.767,0.654,138.062
Ghoul,spotify:track:0GcQGfOsWYrZNyjYAhW6l8,0.236,0.928,160.776
Iannis Xenakis,spotify:track:1zOqrZCX1qyzyIlhMXALH2,0.273,0.7020000000000001,118.712
Massacration,spotify:track:3VBmDO3nmzXWzxgAhRFO38,0.268,0.8270000000000001,148.714
St Germain,spotify:track:38LpbjQx5XAA95pb7AGRnE,0.705,0.649,143.625
Jennifer Hanson,spotify:track:5RUDbG8eDCHatEOo8Cu3t8,0.623,0.878,113.225
Cobalt,spotify:track:7lg2GumTOf7N69NyYexr1m,0.163,0.994,95.434
The American Dollar,spotify:track:2BQWDFPMTDgHle466xgBDS,0.422,0.0689,129.898
Faith Hill,spotify:track:6vgN6KGstss0GnBbKlMNK9,0.627,0.716,101.99
